OID_,Field1,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,lat,long,stationame,station_id_min_2020,monthtotal_sum_2019,monthtotal_sum_2020,F_2019_2020__2019,F2019_2020
165,164,30226,S,Kedzie (Loop-bound),Kedzie,Kedzie (Brown Line),41180,True,False,False,False,True,False,False,False,False,False,"(41.965996, -87.708821)",41.965995999999997,-87.708821000000000,Kedzie-Brown,41180,617967,245921,0.602048329441540,372046
166,165,30027,S,Dempster-Skokie (Howard-bound),Dempster-Skokie,Dempster-Skokie  (Yellow Line),40140,True,False,False,False,False,False,False,True,False,False,"(42.038951, -87.751919)",42.038950999999997,-87.751919000000001,Dempster-Skokie,40140,557333,183819,0.670181022835540,373514
167,166,30296,W,Morgan (Harlem-54th/Cermak-bound),Morgan,Morgan (Green & Pink lines),41510,True,False,False,True,False,False,False,False,True,False,"(41.885586, -87.652193)",41.885586000000004,-87.652192999999997,Morgan-Lake,41510,1105090,380747,0.655460641214743,724343
168,167,30170,S,Thorndale (95th-bound),Thorndale,Thorndale (Red Line),40880,False,True,False,False,False,False,False,False,False,False,"(41.990259, -87.659076)",41.990259000000002,-87.659075999999999,Thorndale,40880,930062,307788,0.669067223475424,622274
169,168,30187,E,Cicero (O'Hare-bound),Cicero,Cicero (Blue Line),40970,False,False,True,False,False,False,False,False,False,False,"(41.871574, -87.745154)",41.871574000000003,-87.745153999999999,Cicero-Forest Park,40970,408539,211816,0.481528079326576,196723
170,169,30297,N,Oakton-Skokie (Dempster-Skokie-bound),Oakton-Skokie,Oakton-Skokie (Yellow Line),41680,True,False,False,False,False,False,False,True,False,False,"(42.02624348, -87.74722084)",42.026243479999998,-87.747220839999997,Oakton-Skokie,41680,274960,100396,0.634870526622054,174564
171,170,30138,S,Chicago (Loop-bound),Chicago,Chicago (Brown & Purple lines),40710,True,False,False,False,True,False,True,False,False,False,"(41.89681, -87.635924)",41.896810000000002,-87.635924000000003,Chicago/Franklin,40710,1993375,666784,0.665499968646140,1326591
172,171,30246,S,43rd (63rd-bound),43rd,43rd (Green Line),41270,True,False,False,True,False,False,False,False,False,False,"(41.816462, -87.619021)",41.816462000000001,-87.619021000000004,43rd,41270,285416,131847,0.538053227569583,153569
173,172,30028,E,Pulaski (Loop-bound),Pulaski,Pulaski (Pink Line),40150,True,False,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)",41.853732000000001,-87.724311000000000,Pulaski-Cermak,40150,328422,175044,0.467014998995195,153378
174,173,30033,W,Ashland (Harlem-54th/Cermak-bound),Ashland,Ashland (Green & Pink lines),40170,True,False,False,True,False,False,False,False,True,False,"(41.885269, -87.666969)",41.885269000000001,-87.666968999999995,Ashland-Lake,40170,745065,300664,0.596459369316771,444401
175,174,30140,W,Cottage Grove (Harlem-bound),Cottage Grove,Cottage Grove (Green Line),40720,True,False,False,True,False,False,False,False,False,False,"(41.780309, -87.605857)",41.780309000000003,-87.605857000000000,East 63rd-Cottage Grove,40720,302869,137986,0.544403686082102,164883
176,175,30037,S,Sox-35th (95th-bound),Sox-35th,Sox-35th (Red Line),40190,True,True,False,False,False,False,False,False,False,False,"(41.831191, -87.630636)",41.831190999999997,-87.630635999999996,Sox-35th-Dan Ryan,40190,1391119,447543,0.678285610361155,943576
177,176,30182,S,Midway (Arrival),Midway,Midway (Orange Line),40930,True,False,False,False,False,False,False,False,False,True,"(41.78661, -87.737875)",41.786610000000003,-87.737875000000003,Midway Airport,40930,2477340,861649,0.652187830495612,1615691
178,177,30116,S,Damen/Milwaukee (Forest Pk-bound),Damen,Damen (Blue Line),40590,False,False,True,False,False,False,False,False,False,False,"(41.909744, -87.677437)",41.909744000000003,-87.677436999999998,Damen/Milwaukee,40590,2023150,582967,0.711851815238613,1440183
